ped	id	sex	mother	father	Total_Ages_Available	ID	Exists_As_Adult	RRBS_Missingness	Total_NG_Remaining
1	67	1	61	146	1	B3Y5976	0	0.916672574	844
1	68	1	61	146	1	B3Y5977	0	0.92610893	349.5
1	69	1	61	146	1	B3Y5978	0	0.854046111	652
1	70	1	61	156	1	B3Y5980	0	0.825642664	465
1	71	2	61	156	1	B3Y5982	0	0.872838107	609
1	72	2	61	156	1	B3Y5983	0	0.734052733	1022.5
1	73	1	61	156	1	B3Y5984	0	0.92949923	950
1	75	1	155	120	1	B4H0827	0	0.837829012	704
1	76	1	155	152	1	B4H0828	0	0.7093996	597.5485714
1	77	1	155	120	1	B4H0830	0	0.911978882	342
1	79	1	180	190	1	B2X7548	0	0.729136399	92
1	84	1	10	168	1	B4H0543	0	0.856473814	1820
1	85	1	10	169	1	B4H0546	0	0.860803223	603.094842
1	86	1	10	168	1	B4H0548	0	0.866590621	864.3510815
1	87	2	182	192	1	B3Y6935	0	0.834835594	514
1	88	1	161	123	1	B4E9449	0	0.855133742	4509
1	89	2	161	154	1	B4E9451	0	0.92844994	1150
1	90	1	161	123	1	B4E9453	0	0.832175854	717.5
1	91	2	161	123	1	B4E9454	0	0.868670127	460.5
1	92	2	161	123	1	B4E9457	0	0.8860746	255
1	93	2	161	154	1	B4H0631	0	0.921787919	1584
1	94	2	161	154	1	B4H0632	0	0.90059242	1052.03827
1	95	2	161	153	1	B4H0633	0	0.878105201	580.1663894
1	96	2	161	153	1	B4H0634	0	0.815802308	1908
1	97	2	161	154	1	B4H0635	0	0.859169285	2259
1	98	1	161	154	1	B4H0637	0	0.908100165	953.9101498
1	99	1	83	63	1	B4H1335	0	0.853965538	94.5
1	101	1	83	63	1	B4H1339	0	0.886029616	294
1	103	2	83	63	1	B4H1342	0	0.853898347	1746
1	104	2	87	18	1	B4H1194	0	0.727624173	522.1914286
1	105	1	87	44	1	B4H1195	0	0.779262054	4554
1	106	2	87	44	1	B4H1197	0	0.928512291	942.5
