ID	total_sequences	unique_hits	mapping_rate	total_cytosines	cpg_rate	chg_rate	chh_rate
B2X3498_BL_ADL_M__SRR25143975	114670262	61858747	53.9%	3809552105	50.2%	0.5%	0.5%
B2X3546_BL_ADL_F__SRR20216430	30469833	13370478	43.9%	610683610	47.8%	2.0%	0.5%
B2X3546_BL_ADL_F__SRR22581119	19238518	7866757	40.9%	352863510	48.3%	1.6%	0.7%
B2X3614_BL_ADL_F__SRR20216429	33043975	14325827	43.4%	640981850	45.9%	2.0%	0.5%
B2X3614_BL_ADL_F__SRR22581301	42848793	18878267	44.1%	874724812	50.7%	1.5%	0.7%
B2X3614_BL_ADL_F__SRR25143962	19331401	8504979	44.0%	583666808	47.9%	1.7%	1.0%
B2X3614_BL_ADL_F__SRR25143967	113379714	69244436	61.1%	4159123583	51.5%	0.5%	0.5%
B2X3614_BL_ADL_F__SRR25143978	18547733	8128906	43.8%	543506885	47.4%	1.7%	1.0%
B2X3614_BL_ADL_F__SRR25143979	177706724	109792205	61.8%	6603876311	52.1%	1.2%	1.1%
B2X3614_BL_CHK_F__SRR20216428	22307655	9392368	42.1%	422394551	47.4%	1.8%	0.5%
B2X3614_BL_CHK_F__SRR22581293	6220434	2650057	42.6%	118557007	51.7%	1.6%	0.7%
B2X3621_BL_ADL_M__SRR20216427	24984031	10804999	43.2%	467797982	48.4%	2.1%	0.5%
B2X3621_BL_ADL_M__SRR22581204	11800688	4917827	41.7%	229416070	52.3%	1.4%	0.7%
B2X3622_BL_ADL_F__SRR20216426	7834054	3275900	41.8%	145299077	48.0%	1.7%	0.5%
B2X3630_BL_ADL_F__SRR20216425	10130115	4407962	43.5%	195174316	46.2%	2.0%	0.5%
B2X3630_BL_ADL_F__SRR22581201	8504650	3829156	45.0%	171215449	47.7%	1.6%	0.7%
B2X3640_BL_ADL_M__SRR20216424	14094357	6070905	43.1%	266137951	46.8%	1.8%	0.5%
B2X3640_BL_ADL_M__SRR22581237	37630491	14779398	39.3%	687030785	50.9%	1.4%	0.7%
B2X3653_BL_ADL_F__SRR20216422	29531590	12815703	43.4%	562728471	47.5%	1.8%	0.5%
