ID	Batch	Biosample	Accession	Ring	Tissue	Age	Sex
B2X7380_BL_CHK_F__SRR22581142	Saarland_Second	B2X7380_BL_CHK_F	SRR22581142	B2X7380	BL	CHK	F
B4H1197_BL_CHK_F__SRR22581273	Saarland_Second	B4H1197_BL_CHK_F	SRR22581273	B4H1197	BL	CHK	F
B2X7637_BL_CHK_M__SRR22581132	Saarland_Second	B2X7637_BL_CHK_M	SRR22581132	B2X7637	BL	CHK	M
B4H0827_BL_CHK_M__SRR22581272	Saarland_Second	B4H0827_BL_CHK_M	SRR22581272	B4H0827	BL	CHK	M
B2X7195_BL_CHK_M__SRR22581167	Saarland_Second	B2X7195_BL_CHK_M	SRR22581167	B2X7195	BL	CHK	M
B3Y5518_BL_ADL_F__SRR22581205	Saarland_Second	B3Y5518_BL_ADL_F	SRR22581205	B3Y5518	BL	ADL	F
B2X3546_BL_ADL_F__SRR22581119	Saarland_Second	B2X3546_BL_ADL_F	SRR22581119	B2X3546	BL	ADL	F
B4H0633_BL_CHK_F__SRR22581208	Saarland_Second	B4H0633_BL_CHK_F	SRR22581208	B4H0633	BL	CHK	F
B4H0828_BL_CHK_M__SRR22581120	Saarland_Second	B4H0828_BL_CHK_M	SRR22581120	B4H0828	BL	CHK	M
B2X7608_BL_CHK_M__SRR22581149	Saarland_Second	B2X7608_BL_CHK_M	SRR22581149	B2X7608	BL	CHK	M
B4H0634_BL_CHK_F__SRR22581303	Saarland_Second	B4H0634_BL_CHK_F	SRR22581303	B4H0634	BL	CHK	F
B3Y6649_BL_CHK_F__SRR22581283	Saarland_Second	B3Y6649_BL_CHK_F	SRR22581283	B3Y6649	BL	CHK	F
B2X4133_BL_ADL_M__SRR22581199	Saarland_Second	B2X4133_BL_ADL_M	SRR22581199	B2X4133	BL	ADL	M
B2X7381_BL_CHK_M__SRR22581182	Saarland_Second	B2X7381_BL_CHK_M	SRR22581182	B2X7381	BL	CHK	M
B3Y6857_BL_ADL_M__SRR22581161	Saarland_Second	B3Y6857_BL_ADL_M	SRR22581161	B3Y6857	BL	ADL	M
B4X1746_BL_CHK_F__SRR22581171	Saarland_Second	B4X1746_BL_CHK_F	SRR22581171	B4X1746	BL	CHK	F
B4H1338_BL_CHK_F__SRR22581138	Saarland_Second	B4H1338_BL_CHK_F	SRR22581138	B4H1338	BL	CHK	F
B4H0825_BL_ADL_M__SRR22581135	Saarland_Second	B4H0825_BL_ADL_M	SRR22581135	B4H0825	BL	ADL	M
B2X7401_BL_ADL_M__SRR22581225	Saarland_Second	B2X7401_BL_ADL_M	SRR22581225	B2X7401	BL	ADL	M
B3Y5802_BL_CHK_F__SRR22581139	Saarland_Second	B3Y5802_BL_CHK_F	SRR22581139	B3Y5802	BL	CHK	F
B2X7415_BL_CHK_F__SRR22581184	Saarland_Second	B2X7415_BL_CHK_F	SRR22581184	B2X7415	BL	CHK	F
B2X3243_BL_CHK_M__SRR22581143	Saarland_Second	B2X3243_BL_CHK_M	SRR22581143	B2X3243	BL	CHK	M
B2X4031_BL_ADL_M__SRR22581263	Saarland_Second	B2X4031_BL_ADL_M	SRR22581263	B2X4031	BL	ADL	M
B2X4934_BL_ADL_F__SRR22581174	Saarland_Second	B2X4934_BL_ADL_F	SRR22581174	B2X4934	BL	ADL	F
B2X7022_BL_CHK_M__SRR22581276	Saarland_Second	B2X7022_BL_CHK_M	SRR22581276	B2X7022	BL	CHK	M
B2X3630_BL_ADL_F__SRR22581201	Saarland_Second	B2X3630_BL_ADL_F	SRR22581201	B2X3630	BL	ADL	F
